Splice junction	Frequency
1(1),1(2)-2	37
1(1),1(2)-3(1),3(2),3(3),3(4),3(5)	1076
2-3(1),3(2),3(3),3(4),3(5)	35
3(1)-4(1),4(2),4(3),4(4),4(5),4(6)	575
3(2)-4(1),4(2),4(3),4(4),4(5),4(6)	19
3(1)-5(1),5(2)	28
3(1)-9(2)	55
3(2)-10(2)	1
3(1)-10(2)	1
4(5)-5(1),5(2)	99
7(1),7(2),7(3)-8	1076
8-9(1)	723
8-9(2)	14
8-10(2)	18
9(1),9(2)-10(2)	809
